model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
C,5,gaussian_blur,0.73332,1.1293041001844406,0.1689162418088317,0.42367789993286137,0.29471392141075164,0.2903800824574707,0.017659999999999988,,0.07672894875164077
C,5,spatter,0.85184,0.6371766432428361,0.0924017051589489,0.24318817156791686,0.17164505679999362,0.17033138918816346,0.012220000000000009,,0.07212242509496791
C,5,saturate,0.91966,0.32455151691019535,0.047449385853111745,0.13001002570386977,0.10319168365329155,0.10323612461843062,0.006619999999999982,,0.07057369702938394
D1,1,gaussian_noise,0.466,2.9640162216949464,0.4296640744525194,0.9306101893615722,0.30389376524148565,0.3834667170517123,0.029800000000000004,0.15214798348091965,0.0879698220163092
D1,1,shot_noise,0.59588,2.102318592071533,0.3110807248869538,0.6905608523631096,0.2732606890039914,0.34668494632885793,0.028559999999999985,0.13731760718643543,0.07921930079069012
D1,1,impulse_noise,0.54512,2.256132160396576,0.33301574310421944,0.7532210529708863,0.359764959970098,0.46992288065733123,0.04146000000000001,0.1839298427271826,0.09354221152460516
D1,1,defocus_blur,0.8308,0.7202678162670135,0.1101144215029478,0.27404783920526504,0.1769682822414137,0.22067689607272273,0.01714,0.08784447063124176,0.0576825157914892
D1,1,glass_blur,0.56732,1.9709986028671265,0.3063376608005166,0.7069704310035706,0.37388522531574475,0.49531856983263045,0.04696000000000002,0.19288074564523974,0.10922194060925254
D1,1,motion_blur,0.79962,0.8522459462165832,0.1325868071630597,0.3268364968109131,0.2037831726488404,0.2572183280470871,0.019000000000000017,0.10192559522079386,0.06496247068689748
D1,1,zoom_blur,0.79342,0.8675849816417694,0.12977202266186474,0.33093150514125824,0.22923700192701013,0.2877198433771345,0.023060000000000015,0.11430319590908881,0.07294344781169618
D1,1,snow,0.8324,0.7027431073379516,0.10946797016084193,0.27367431399822234,0.17764015077455697,0.22924580901055713,0.017379999999999996,0.0901200298733968,0.05318471983259069
D1,1,frost,0.80366,0.8405992678070069,0.12912640235096215,0.32022487335205074,0.203742926864592,0.2643185743123593,0.02133999999999998,0.10370514266253571,0.06112628601107192
